name	length	score	pvalue
NODE_98_length_1835_cov_2.026404	1835	0.0750244672409061	0.604257184996213
NODE_99_length_1810_cov_1.700855	1810	0.324595940662866	0.260055008570176
NODE_100_length_1797_cov_2.602181	1797	0.258924372319406	0.316658030055407
NODE_101_length_1775_cov_2.337209	1775	0.194132906651139	0.388169171283932
NODE_102_length_1747_cov_1.356974	1747	0.316836875333576	0.266233507394268
NODE_103_length_1733_cov_2.500000	1733	0.0600211878245974	0.650855024514689
NODE_104_length_1732_cov_3.016100	1732	0.0836661866580625	0.580340415354566
NODE_105_length_1724_cov_1.902936	1724	0.188185232203586	0.395942121417467
NODE_106_length_1712_cov_2.733253	1712	0.86517923658206	0.0257902499302428
NODE_107_length_1695_cov_2.710366	1695	0.0520822692483792	0.678239725754375
NODE_108_length_1672_cov_1.677798	1672	0.319224302855517	0.2642803045402
NODE_109_length_1670_cov_1.480495	1670	0.316482811501995	0.266392952525212
NODE_110_length_1660_cov_1.999377	1660	0.116072065589265	0.509068441822458
NODE_111_length_1643_cov_2.164987	1643	0.12243891720818	0.497588392394467
NODE_112_length_1636_cov_1.906388	1636	0.2646559095131	0.311675369713397
NODE_113_length_1607_cov_1.780928	1607	0.0586934157792283	0.654442539960936
NODE_114_length_1607_cov_1.566366	1607	0.0207500528721962	0.828078287559294
NODE_115_length_1592_cov_2.052049	1592	0.0182517010200074	0.843743771674572
NODE_116_length_1591_cov_2.005208	1591	0.630851369112787	0.0986566747717942
NODE_117_length_1577_cov_2.931669	1577	0.095692823675115	0.552118627177423
NODE_118_length_1555_cov_2.621333	1555	0.0834548838563133	0.58121736357476
NODE_119_length_1554_cov_2.199466	1554	0.0203270104582403	0.830788854785347
NODE_120_length_1530_cov_2.113220	1530	0.0473323493899711	0.696496193247499
NODE_121_length_1524_cov_6.807352	1524	0.139299468580448	0.467134372384103
NODE_122_length_1507_cov_2.558540	1507	0.542570129524337	0.135687806433611
NODE_123_length_1475_cov_1.519014	1475	0.0179729661223735	0.845378084266752
